,First,Last,Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,weightclass
0,,,,,,,,,,,,,
1,Tom,Aaron,Tom Aaron,,--,155 lbs.,--,,5,3,0,,#N/A
2,Danny,Abbadi,Danny Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,#N/A
3,David,Abbott,David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,#N/A
4,Shamil,Abdurakhimov,Shamil Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,5,0,,#N/A
5,Hiroyuki,Abe,Hiroyuki Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,#N/A
6,Daichi,Abe,Daichi Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,#N/A
7,Papy,Abedi,Papy Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,#N/A
8,Ricardo,Abreu,Ricardo Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,#N/A
9,Klidson,Abreu,Klidson Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,#N/A
10,Daniel,Acacio,Daniel Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,#N/A
11,Scott,Adams,Scott Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,#N/A
12,Juan,Adams,Juan Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,#N/A
13,Anthony,Adams,Anthony Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,#N/A
14,Zarrukh,Adashev,Zarrukh Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,3,3,0,,Flyweights
15,Israel,Adesanya,Israel Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,20,1,0,,#N/A
16,Sam,Adkins,Sam Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,#N/A
17,Nick,Agallar,Nick Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,#N/A
18,Mariya,Agapova,Mariya Agapova,,"5' 6""",125 lbs.,"68.0""",Southpaw,9,2,0,,Women Flyweights
19,Marcelo,Aguiar,Marcelo Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,#N/A
20,Fabio,Aguiar,Fabio Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,#N/A
21,Edwin,Aguilar,Edwin Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,#N/A
22,Jessica,Aguilar,Jessica Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,#N/A
23,Kevin,Aguilar,Kevin Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,Featherweights
24,Christian,Aguilera,Christian Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,,Welterweights
25,Mike,Aina,Mike Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,,#N/A
26,Hitomi,Akano,Hitomi Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,,#N/A
27,Omari,Akhmedov,Omari Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,5,1,,Middleweights
28,Yoshihiro,Akiyama,Yoshihiro Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,,#N/A
29,Rostem,Akman,Rostem Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,,#N/A
30,Razak,Al-Hassan,Razak Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,,#N/A
31,Mostapha,Al-Turk,Mostapha Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,,#N/A
32,Herdem,Alacabek,Herdem Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,,#N/A
33,Javi,Alanis,Javi Alanis,,"5' 6""",135 lbs.,--,,0,4,0,,#N/A
34,Heili,Alateng,Heili Alateng,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,14,8,1,,Bantamweights
35,Amir,Albazi,Amir Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,14,1,0,,Flyweights
36,Brett,Albee,Brett Albee,,--,225 lbs.,--,,3,2,0,,#N/A
37,John,Albert,John Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,,#N/A
38,Junior,Albini,Junior Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,,#N/A
39,Wes,Albritton,Wes Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,,#N/A
40,Aleksandra,Albu,Aleksandra Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,,#N/A
41,Israel,Albuquerque,Israel Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,,#N/A
42,Juan,Alcain,Juan Alcain,,--,--,--,,1,2,0,,#N/A
43,Iuri,Alcantara,Iuri Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,,#N/A
44,Ildemar,Alcantara,Ildemar Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,,#N/A
45,Alfonso,Alcarez,Alfonso Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,,#N/A
46,Gilbert,Aldana,Gilbert Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,,#N/A
47,Irene,Aldana,Irene Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,12,6,0,,Women Bantamweights
48,Hector,Aldana,Hector Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,,#N/A
49,Jose,Aldo,Jose Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,29,7,0,,#N/A
50,JJ,Aldrich,JJ Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,9,4,0,,#N/A
51,Jim,Alers,Jim Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,,#N/A
52,John,Alessio,John Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,,#N/A
53,Houston,Alexander,Houston Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,,#N/A
54,Kenneth,Alexander,Kenneth Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,,#N/A
55,Marcio,Alexandre Junior,Marcio Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,,#N/A
56,Olaf,Alfonso,Olaf Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,,#N/A
57,Pablo,Alfonso,Pablo Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,,#N/A
58,Levi,Alford,Levi Alford,,--,--,--,,1,7,0,,#N/A
59,Bill,Algeo,Bill Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,14,5,0,,Featherweights
60,Royce,Alger,Royce Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,,#N/A
61,Amir,Aliakbari,Amir Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,,#N/A
62,Sultan,Aliev,Sultan Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,,#N/A
63,John,Allan,John Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,6,0,,Light Heavyweights
64,George,Allen,George Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,,#N/A
65,Arnold,Allen,Arnold Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,17,1,0,,Featherweights
66,Brendan,Allen,Brendan Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,16,4,0,,Middleweights
67,Ben,Alloway,Ben Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,,#N/A
68,Ricardo,Almeida,Ricardo Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,,#N/A
69,Magno,Almeida,Magno Almeida,,"6' 0""",155 lbs.,--,,10,3,0,,#N/A
70,Thomas,Almeida,Thomas Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,,Bantamweights
71,Ericka,Almeida,Ericka Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,,#N/A
72,Estefani,Almeida,Estefani Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,,#N/A
73,Jailton,Almeida,Jailton Almeida,Gafanhoto Destruidor,"5' 2""",135 lbs.,--,,0,0,0,,#N/A
74,Mauricio,Alonso,Mauricio Alonso,,"6' 2""",170 lbs.,--,,13,7,0,,#N/A
75,Sarah,Alpar,Sarah Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,5,0,,Women Bantamweights
76,Ali,AlQaisi,Ali AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,,#N/A
77,Rico,Altamirano,Rico Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,,#N/A
78,Mike,Altman,Mike Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,,#N/A
79,Sean,Alvarez,Sean Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,,#N/A
80,Eddie,Alvarez,Eddie Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,,#N/A
81,Jaime,Alvarez,Jaime Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,,#N/A
82,Joel,Alvarez,Joel Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,18,2,0,,Lightweights
83,Thiago,Alves,Thiago Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,,#N/A
84,Anthony,Alves,Anthony Alves,,--,--,--,,1,4,0,,#N/A
85,Amilcar,Alves,Amilcar Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,,#N/A
86,Warlley,Alves,Warlley Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15,4,0,,Welterweights
87,Rafael,Alves,Rafael Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,19,9,0,,Lightweights
88,Sam,Alvey,Sam Alvey,Smile'N,"6' 2""",205 lbs.,"75.0""",Southpaw,33,15,1,,Middleweights
89,Andre,Amado,Andre Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,,#N/A
90,Adlan,Amagov,Adlan Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,,#N/A
91,Maiara,Amanajas dos Santos,Maiara Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,,#N/A
92,Chris,Amarante,Chris Amarante,,--,185 lbs.,--,,2,0,0,,#N/A
93,Jimmy,Ambriz,Jimmy Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,,#N/A
94,JJ,Ambrose,JJ Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,,#N/A
95,Alen,Amedovski,Alen Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,2,0,,Middleweights
96,Makwan,Amirkhani,Makwan Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,16,5,0,,Featherweights
97,Bertrand,Amoussou,Bertrand Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,,#N/A
98,Karl,Amoussou,Karl Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,,#N/A
99,Eryk,Anders,Eryk Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,13,5,0,,Middleweights
100,Matt,Andersen,Matt Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,,#N/A
101,Andy,Anderson,Andy Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,,#N/A
102,Lowell,Anderson,Lowell Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,,#N/A
